1,118.96_-19.95
10,123.39_-16.40
100,146.84_-40.80
101,113.14_-24.76
102,115.44_-32.74
1027,115.44_-32.74
1028,115.44_-32.74
1029,115.44_-32.74
103,126.62_-13.97
104,151.29_-34.22
105,148.43_-41.47
106,130.26_-12.74
107,134.50_-11.82
108,145.57_-43.29
109,136.95_-13.75
11,141.81_-11.67
110,144.93_-14.59
111,133.46_-32.32
112,143.06_-11.64
113,115.44_-34.61
114,117.00_-35.15
115,136.23_-11.84
116,136.09_-12.33
117,130.16_-11.39
118,135.85_-14.37
119,124.31_-14.85
12,145.93_-16.43
120,113.37_-23.84
121,151.58_-21.09
122,151.49_-20.40
123,123.06_-15.89
124,141.08_-16.67
125,139.04_-35.91
126,120.19_-19.79
127,128.71_-14.60
128,136.71_-11.86
129,146.22_-39.17
13,145.61_-14.58
130,144.38_-39.75
131,147.42_-18.72
132,130.17_-13.29
133,127.98_-14.39
134,143.99_-38.78
135,117.60_-20.59
136,140.66_-17.14
137,124.69_-14.28
138,149.99_-21.46
139,123.57_-15.71
14,147.56_-43.26
140,130.17_-12.08
141,139.53_-36.68
142,143.87_-14.10
1427,143.87_-14.10
1428,143.87_-14.10
1429,143.87_-14.10
143,149.79_-22.14
144,118.72_-19.74
145,149.30_-19.84
146,146.77_-38.83
147,148.25_-39.59
148,141.29_-15.48
149,139.52_-16.78
1497,147.56_-43.26
1498,147.56_-43.26
1499,147.56_-43.26
15,122.12_-17.22
150,142.15_-10.78
151,118.54_-20.18
152,123.23_-15.92
153,125.78_-32.67
1537,125.78_-32.67
1538,125.78_-32.67
1539,125.78_-32.67
154,136.09_-13.40
155,143.32_-12.18
156,114.33_-21.32
157,129.52_-14.89
158,137.88_-35.53
159,136.71_-12.80
1597,122.12_-17.22
1598,122.12_-17.22
1599,122.12_-17.22
16,123.50_-17.26
160,136.23_-11.32
161,149.90_-19.92
162,151.84_-21.81
163,119.94_-19.31
164,153.50_-26.44
165,152.57_-22.75
166,137.80_-36.12
167,129.37_-14.63
168,153.32_-25.48
169,150.99_-22.84
1697,123.50_-17.26
1698,123.50_-17.26
1699,123.50_-17.26
17,124.52_-15.18
170,141.40_-14.89
171,115.11_-21.16
172,126.61_-13.42
173,128.81_-31.94
174,153.27_-27.33
175,150.73_-21.76
176,117.01_-20.45
177,151.69_-23.18
178,144.84_-41.86
179,141.85_-10.72
18,151.60_-22.26
180,115.62_-21.01
181,129.64_-13.39
182,134.56_-33.50
1827,134.56_-33.50
1828,134.56_-33.50
1829,134.56_-33.50
183,129.57_-14.68
184,126.98_-13.36
185,152.81_-21.73
186,142.13_-38.63
187,135.41_-11.94
188,136.61_-15.45
189,129.15_-14.47
19,143.79_-10.76
190,150.76_-22.43
191,149.62_-21.95
192,113.04_-26.72
193,116.58_-20.35
194,116.10_-20.36
195,146.51_-18.95
196,123.59_-14.37
197,121.23_-18.17
1977,121.23_-18.17
1978,121.23_-18.17
1979,121.23_-18.17
198,150.52_-22.51
199,152.18_-32.88
1997,152.18_-32.88
1998,152.18_-32.88
1999,152.18_-32.88
2,143.00_-11.00
20,135.02_-34.85
200,132.16_-32.09
2007,132.16_-32.09
2008,132.16_-32.09
2009,132.16_-32.09
201,132.25_-11.11
202,137.85_-32.89
2027,137.85_-32.89
2028,137.85_-32.89
2029,137.85_-32.89
203,149.98_-19.87
204,151.55_-22.93
205,132.46_-11.61
206,152.52_-21.62
207,145.78_-38.76
208,148.73_-19.90
209,122.20_-18.07
21,141.32_-13.64
210,116.15_-20.79
211,137.26_-33.88
212,153.21_-31.01
2127,153.21_-31.01
2128,153.21_-31.01
2129,153.21_-31.01
213,137.42_-15.87
2137,137.42_-15.87
2138,137.42_-15.87
2139,137.42_-15.87
214,145.61_-40.65
215,147.56_-40.28
216,123.29_-16.79
217,148.04_-40.54
218,151.04_-23.36
219,131.60_-12.20
22,151.26_-21.74
220,123.20_-34.16
2207,123.20_-34.16
2208,123.20_-34.16
2209,123.20_-34.16
221,148.46_-40.05
222,118.32_-19.28
2227,118.32_-19.28
2228,118.32_-19.28
2229,118.32_-19.28
223,148.20_-18.42
224,148.91_-37.83
2247,148.91_-37.83
2248,148.91_-37.83
2249,148.91_-37.83
225,129.52_-13.99
226,118.36_-19.71
227,145.42_-15.09
228,149.65_-21.55
229,150.26_-19.40
